Latitude,Longitude,Air Pollution Level
32.0,-3.75,3.8839392e-08
32.0,-3.125,3.8362266e-08
32.0,-2.5,3.822713e-08
32.0,-1.875,3.841704e-08
32.0,-1.25,3.829861e-08
32.0,-0.625,3.802814e-08
32.0,0.0,3.7742627e-08
32.0,0.625,3.7631516e-08
32.0,1.25,3.7687037e-08
32.0,1.875,3.7675495e-08
32.0,2.5,3.7790183e-08
32.0,3.125,3.7993907e-08
32.0,3.75,3.8002312e-08
32.0,4.375,3.7959293e-08
32.0,5.0,3.7874834e-08
32.0,5.625,3.7862478e-08
32.0,6.25,3.7992233e-08
32.0,6.875,3.815419e-08
32.0,7.5,3.8146496e-08
32.0,8.125,3.820624e-08
32.0,8.75,3.837993e-08
32.0,9.375,3.8685563e-08
32.0,10.0,3.901044e-08
32.0,10.625,3.9090686e-08
32.0,11.25,3.912952e-08
32.0,11.875,3.9173326e-08
32.0,12.5,3.9320135e-08
32.0,13.125,3.94753e-08
32.0,13.75,3.8927134e-08
32.0,14.375,3.831933e-08
32.0,15.0,3.805793e-08
32.0,15.625,3.8766967e-08
32.0,16.25,3.787875e-08
32.0,16.875,3.7710567e-08
32.0,17.5,3.769753e-08
32.0,18.125,3.7978538e-08
32.0,18.75,3.8310038e-08
32.0,19.375,3.848276e-08
32.0,20.0,3.8833868e-08
32.0,20.625,3.8530537e-08
32.0,21.25,3.8886427e-08
32.0,21.875,3.8740385e-08
32.0,22.5,3.898248e-08
32.0,23.125,3.943366e-08
32.0,23.75,3.998813e-08
32.0,24.375,4.087569e-08
32.0,25.0,4.104994e-08
32.0,25.625,4.12451e-08
32.0,26.25,4.1766786e-08
32.0,26.875,4.203579e-08
32.0,27.5,4.2110546e-08
32.0,28.125,4.2176694e-08
32.0,28.75,4.2247294e-08
32.0,29.375,4.2211173e-08
32.0,30.0,4.2186546e-08
32.0,30.625,4.2371152e-08
32.0,31.25,4.2128676e-08
32.0,31.875,4.1886818e-08
32.0,32.5,4.1347022e-08
32.0,33.125,4.06826e-08
32.0,33.75,3.9673196e-08
32.0,34.375,3.7739728e-08
32.0,35.0,3.1444277e-08
32.0,35.625,3.7801176e-08
32.0,36.25,4.0668798e-08
32.0,36.875,4.4052978e-08
32.0,37.5,4.57189e-08
32.0,38.125,4.619329e-08
32.0,38.75,4.639814e-08
32.0,39.375,4.6277407e-08
32.0,40.0,4.6208534e-08
32.0,40.625,4.6412538e-08
32.0,41.25,4.674459e-08
32.0,41.875,4.67095e-08
32.0,42.5,4.6666788e-08
32.0,43.125,4.6480967e-08
32.0,43.75,4.5546034e-08
32.0,44.375,4.1246413e-08
32.0,45.0,4.4301537e-08
32.0,45.625,4.7478274e-08
32.0,46.25,4.9170715e-08
32.0,46.875,5.0285514e-08
32.0,47.5,5.1139555e-08
32.5,-28.125,2.6610545e-08
32.5,-27.5,2.6762597e-08
32.5,-26.875,2.6913916e-08
32.5,-26.25,2.7123887e-08
32.5,-25.625,2.7275131e-08
32.5,-25.0,2.7375789e-08
32.5,-24.375,2.7461791e-08
32.5,-23.75,2.7602002e-08
32.5,-23.125,2.77581e-08
32.5,-22.5,2.7889408e-08
32.5,-21.875,2.8019102e-08
32.5,-21.25,2.8180336e-08
32.5,-20.625,2.8387829e-08
32.5,-20.0,2.8627825e-08
32.5,-19.375,2.8861335e-08
32.5,-18.75,2.916345e-08
32.5,-18.125,2.9599475e-08
32.5,-17.5,3.009561e-08
32.5,-16.875,3.0620974e-08
32.5,-16.25,3.0674492e-08
32.5,-15.625,3.08554e-08
32.5,-15.0,3.1186193e-08
32.5,-14.375,3.1582058e-08
32.5,-13.75,3.1988307e-08
32.5,-13.125,3.2271945e-08
32.5,-12.5,3.2480962e-08
32.5,-11.875,3.274349e-08
32.5,-11.25,3.320865e-08
32.5,-10.625,3.3816043e-08
32.5,-10.0,3.4435423e-08
32.5,-9.375,3.4336793e-08
32.5,-8.75,3.380138e-08
32.5,-8.125,3.4574846e-08
32.5,-7.5,3.569824e-08
32.5,-6.875,3.6841364e-08
32.5,-6.25,3.91049e-08
32.5,-5.625,4.056758e-08
32.5,-5.0,4.0254193e-08
32.5,-4.375,3.9784744e-08
32.5,-3.75,3.9310446e-08
32.5,-3.125,3.9028073e-08
32.5,-2.5,3.8766924e-08
32.5,-1.875,3.876128e-08
32.5,-1.25,3.8843055e-08
32.5,-0.625,3.8467192e-08
32.5,0.0,3.8100364e-08
32.5,0.625,3.792644e-08
32.5,1.25,3.79564e-08
32.5,1.875,3.78921e-08
32.5,2.5,3.7943387e-08
32.5,3.125,3.805725e-08
32.5,3.75,3.805938e-08
32.5,4.375,3.8061895e-08
32.5,5.0,3.7971013e-08
32.5,5.625,3.7879968e-08
32.5,6.25,3.801261e-08
32.5,6.875,3.8088032e-08
32.5,7.5,3.814206e-08
32.5,8.125,3.8226492e-08
32.5,8.75,3.839267e-08
32.5,9.375,3.872375e-08
32.5,10.0,3.899334e-08
32.5,10.625,3.8880554e-08
32.5,11.25,3.8601634e-08
32.5,11.875,3.8177003e-08
32.5,12.5,3.66574e-08
32.5,13.125,3.7831136e-08
32.5,13.75,3.842845e-08
32.5,14.375,3.872011e-08
32.5,15.0,3.87473e-08
32.5,15.625,3.8507427e-08
32.5,16.25,3.793648e-08
32.5,16.875,3.785969e-08
32.5,17.5,3.791367e-08
32.5,18.125,3.8191978e-08
32.5,18.75,3.850686e-08
32.5,19.375,3.873926e-08
32.5,20.0,3.9269835e-08
32.5,20.625,3.938408e-08
32.5,21.25,3.9322536e-08
32.5,21.875,3.918686e-08
32.5,22.5,3.9426606e-08
32.5,23.125,4.033528e-08
32.5,23.75,4.058724e-08
32.5,24.375,4.0864457e-08
32.5,25.0,4.1101973e-08
32.5,25.625,4.162033e-08
32.5,26.25,4.2130974e-08
32.5,26.875,4.2473047e-08
32.5,27.5,4.250468e-08
32.5,28.125,4.2442082e-08
32.5,28.75,4.2415877e-08
32.5,29.375,4.238204e-08
32.5,30.0,4.24452e-08
32.5,30.625,4.2415465e-08
32.5,31.25,4.225309e-08
32.5,31.875,4.1975337e-08
32.5,32.5,4.1479087e-08
32.5,33.125,4.0895365e-08
32.5,33.75,3.9961975e-08
32.5,34.375,3.888791e-08
32.5,35.0,3.445986e-08
32.5,35.625,3.5103763e-08
32.5,36.25,4.045274e-08
32.5,36.875,4.481882e-08
32.5,37.5,4.5844903e-08
32.5,38.125,4.6013824e-08
32.5,38.75,4.631976e-08
32.5,39.375,4.606091e-08
32.5,40.0,4.620987e-08
32.5,40.625,4.6516174e-08
32.5,41.25,4.682277e-08
32.5,41.875,4.6865324e-08
32.5,42.5,4.6550404e-08
32.5,43.125,4.5831975e-08
32.5,43.75,4.3256506e-08
32.5,44.375,3.384081e-08
32.5,45.0,4.3291713e-08
32.5,45.625,4.7930325e-08
32.5,46.25,5.0201333e-08
32.5,46.875,5.1637087e-08
32.5,47.5,5.2060592e-08
33.0,-28.125,2.6651115e-08
33.0,-27.5,2.6799988e-08
33.0,-26.875,2.694628e-08
33.0,-26.25,2.7156535e-08
33.0,-25.625,2.7311218e-08
33.0,-25.0,2.7429445e-08
33.0,-24.375,2.7538935e-08
33.0,-23.75,2.7665411e-08
33.0,-23.125,2.7820551e-08
33.0,-22.5,2.7930014e-08
33.0,-21.875,2.8026841e-08
33.0,-21.25,2.816079e-08
33.0,-20.625,2.8331442e-08
33.0,-20.0,2.8537965e-08
33.0,-19.375,2.876872e-08
33.0,-18.75,2.9060786e-08
33.0,-18.125,2.94177e-08
33.0,-17.5,2.9812917e-08
33.0,-16.875,3.014942e-08
33.0,-16.25,3.045861e-08
33.0,-15.625,3.0719082e-08
33.0,-15.0,3.1029344e-08
33.0,-14.375,3.1410494e-08
33.0,-13.75,3.182563e-08
33.0,-13.125,3.212821e-08
33.0,-12.5,3.2368245e-08
33.0,-11.875,3.260292e-08
33.0,-11.25,3.3031057e-08
33.0,-10.625,3.3565104e-08
33.0,-10.0,3.4234922e-08
33.0,-9.375,3.48579e-08
33.0,-8.75,3.4865266e-08
33.0,-8.125,3.4491755e-08
33.0,-7.5,3.5446234e-08
33.0,-6.875,3.6598717e-08
33.0,-6.25,3.797974e-08
33.0,-5.625,3.9243726e-08
33.0,-5.0,3.973288e-08
33.0,-4.375,3.971934e-08
33.0,-3.75,3.9507647e-08
33.0,-3.125,3.941313e-08
33.0,-2.5,3.9220684e-08
33.0,-1.875,3.8867498e-08
33.0,-1.25,3.8758895e-08
33.0,-0.625,3.8339998e-08
33.0,0.0,3.821365e-08
33.0,0.625,3.82609e-08
33.0,1.25,3.830939e-08
33.0,1.875,3.8210004e-08
33.0,2.5,3.8155e-08
33.0,3.125,3.815643e-08
33.0,3.75,3.818807e-08
33.0,4.375,3.8168892e-08
33.0,5.0,3.802062e-08
33.0,5.625,3.783801e-08
33.0,6.25,3.786129e-08
33.0,6.875,3.7911043e-08
33.0,7.5,3.804241e-08
33.0,8.125,3.812138e-08
33.0,8.75,3.8243638e-08
33.0,9.375,3.8590215e-08
33.0,10.0,3.8907416e-08
33.0,10.625,3.8822478e-08
33.0,11.25,3.8676678e-08
33.0,11.875,3.8874276e-08
33.0,12.5,3.794456e-08
33.0,13.125,3.895031e-08
33.0,13.75,3.946696e-08
33.0,14.375,3.8970228e-08
33.0,15.0,3.839017e-08
33.0,15.625,3.8178968e-08
33.0,16.25,3.7959378e-08
33.0,16.875,3.8080877e-08
33.0,17.5,3.8230965e-08
33.0,18.125,3.852474e-08
33.0,18.75,3.8901785e-08
33.0,19.375,3.9179778e-08
33.0,20.0,3.9431328e-08
33.0,20.625,3.9690043e-08
33.0,21.25,4.0204007e-08
33.0,21.875,3.998626e-08
33.0,22.5,4.0553545e-08
33.0,23.125,4.0605546e-08
33.0,23.75,4.0806203e-08
33.0,24.375,4.1141146e-08
33.0,25.0,4.1619156e-08
33.0,25.625,4.2219924e-08
33.0,26.25,4.2704535e-08
33.0,26.875,4.2957307e-08
33.0,27.5,4.2991058e-08
33.0,28.125,4.2966548e-08
33.0,28.75,4.291339e-08
33.0,29.375,4.286661e-08
33.0,30.0,4.278559e-08
33.0,30.625,4.2707125e-08
33.0,31.25,4.2568555e-08
33.0,31.875,4.236731e-08
33.0,32.5,4.1926505e-08
33.0,33.125,4.145846e-08
33.0,33.75,4.071293e-08
33.0,34.375,4.0275378e-08
33.0,35.0,3.8534754e-08
33.0,35.625,3.5960475e-08
33.0,36.25,4.06262e-08
33.0,36.875,4.418461e-08
33.0,37.5,4.5333024e-08
33.0,38.125,4.551563e-08
33.0,38.75,4.5630188e-08
33.0,39.375,4.544083e-08
33.0,40.0,4.5902603e-08
33.0,40.625,4.6268244e-08
33.0,41.25,4.648891e-08
33.0,41.875,4.641186e-08
33.0,42.5,4.614955e-08
33.0,43.125,4.481296e-08
33.0,43.75,4.1383807e-08
33.0,44.375,3.2557832e-08
33.0,45.0,4.466584e-08
33.0,45.625,4.9672632e-08
33.0,46.25,5.1743303e-08
33.0,46.875,5.2679514e-08
33.0,47.5,5.252514e-08
33.5,-28.125,2.6696275e-08
33.5,-27.5,2.6812511e-08
33.5,-26.875,2.6953362e-08
33.5,-26.25,2.716032e-08
33.5,-25.625,2.733383e-08
33.5,-25.0,2.7474698e-08
33.5,-24.375,2.759851e-08
33.5,-23.75,2.77211e-08
33.5,-23.125,2.785463e-08
33.5,-22.5,2.7948383e-08
33.5,-21.875,2.8034988e-08
33.5,-21.25,2.813288e-08
33.5,-20.625,2.8291051e-08
33.5,-20.0,2.8482384e-08
33.5,-19.375,2.8691979e-08
33.5,-18.75,2.8962111e-08
33.5,-18.125,2.926843e-08
33.5,-17.5,2.9625566e-08
33.5,-16.875,2.9953977e-08
33.5,-16.25,3.0258363e-08
33.5,-15.625,3.054973e-08
33.5,-15.0,3.085407e-08
33.5,-14.375,3.121664e-08
33.5,-13.75,3.162622e-08
33.5,-13.125,3.1972565e-08
33.5,-12.5,3.2264904e-08
33.5,-11.875,3.2516283e-08
33.5,-11.25,3.2865763e-08
33.5,-10.625,3.3311803e-08
33.5,-10.0,3.39303e-08
33.5,-9.375,3.4570906e-08
33.5,-8.75,3.545675e-08
33.5,-8.125,3.574197e-08
33.5,-7.5,3.5476397e-08
33.5,-6.875,3.6233793e-08
33.5,-6.25,3.722017e-08
33.5,-5.625,3.8159342e-08
33.5,-5.0,3.9656626e-08
33.5,-4.375,3.9856182e-08
33.5,-3.75,3.9693404e-08
33.5,-3.125,3.974293e-08
33.5,-2.5,3.951039e-08
33.5,-1.875,3.8926302e-08
33.5,-1.25,3.8705238e-08
33.5,-0.625,3.8197975e-08
33.5,0.0,3.816207e-08
33.5,0.625,3.8318635e-08
33.5,1.25,3.853982e-08
33.5,1.875,3.8523524e-08
33.5,2.5,3.8263366e-08
33.5,3.125,3.814536e-08
33.5,3.75,3.820348e-08
33.5,4.375,3.8212256e-08
33.5,5.0,3.804223e-08
33.5,5.625,3.783872e-08
33.5,6.25,3.781755e-08
33.5,6.875,3.7884725e-08
33.5,7.5,3.7992585e-08
33.5,8.125,3.8104204e-08
33.5,8.75,3.82132e-08
33.5,9.375,3.844089e-08
33.5,10.0,3.8919175e-08
33.5,10.625,3.9078422e-08
33.5,11.25,3.9502638e-08
33.5,11.875,3.941571e-08
33.5,12.5,3.894051e-08
33.5,13.125,3.890615e-08
33.5,13.75,3.8826215e-08
33.5,14.375,3.8570107e-08
33.5,15.0,3.845542e-08
33.5,15.625,3.832746e-08
33.5,16.25,3.8254175e-08
33.5,16.875,3.839362e-08
33.5,17.5,3.856126e-08
33.5,18.125,3.884266e-08
33.5,18.75,3.923779e-08
33.5,19.375,3.9524902e-08
33.5,20.0,3.969063e-08
33.5,20.625,3.9800714e-08
33.5,21.25,3.9936527e-08
33.5,21.875,3.9990248e-08
33.5,22.5,4.0304712e-08
33.5,23.125,4.0755722e-08
33.5,23.75,4.1147015e-08
33.5,24.375,4.1605023e-08
33.5,25.0,4.2058034e-08
33.5,25.625,4.263013e-08
33.5,26.25,4.304562e-08
33.5,26.875,4.3207912e-08
33.5,27.5,4.320982e-08
33.5,28.125,4.317771e-08
33.5,28.75,4.3084064e-08
33.5,29.375,4.3107004e-08
33.5,30.0,4.3001922e-08
33.5,30.625,4.2993864e-08
33.5,31.25,4.2877637e-08
33.5,31.875,4.2649873e-08
33.5,32.5,4.2292356e-08
33.5,33.125,4.193982e-08
33.5,33.75,4.1581e-08
33.5,34.375,4.0995026e-08
33.5,35.0,4.0356156e-08
33.5,35.625,3.4543703e-08
33.5,36.25,4.1526476e-08
33.5,36.875,4.467219e-08
33.5,37.5,4.5211213e-08
33.5,38.125,4.4908482e-08
33.5,38.75,4.4949925e-08
33.5,39.375,4.5043286e-08
33.5,40.0,4.5372627e-08
33.5,40.625,4.5623185e-08
33.5,41.25,4.6001087e-08
33.5,41.875,4.5972083e-08
33.5,42.5,4.57562e-08
33.5,43.125,4.4207788e-08
33.5,43.75,4.213209e-08
33.5,44.375,4.0717858e-08
33.5,45.0,4.7602136e-08
33.5,45.625,5.090585e-08
33.5,46.25,5.218317e-08
33.5,46.875,5.2564836e-08
33.5,47.5,5.2214848e-08
34.0,-28.125,2.6748417e-08
34.0,-27.5,2.6839405e-08
34.0,-26.875,2.69768e-08
34.0,-26.25,2.7172076e-08
34.0,-25.625,2.7342386e-08
34.0,-25.0,2.7496805e-08
34.0,-24.375,2.762469e-08
34.0,-23.75,2.7739398e-08
34.0,-23.125,2.7871021e-08
34.0,-22.5,2.7947083e-08
34.0,-21.875,2.8020455e-08
34.0,-21.25,2.8099215e-08
34.0,-20.625,2.8219034e-08
34.0,-20.0,2.8385998e-08
34.0,-19.375,2.8597606e-08
34.0,-18.75,2.8863383e-08
34.0,-18.125,2.9148172e-08
34.0,-17.5,2.9433187e-08
34.0,-16.875,2.9746158e-08
34.0,-16.25,3.0065014e-08
34.0,-15.625,3.0348716e-08
34.0,-15.0,3.063828e-08
34.0,-14.375,3.0999633e-08
34.0,-13.75,3.142827e-08
34.0,-13.125,3.1798923e-08
34.0,-12.5,3.2147305e-08
34.0,-11.875,3.2423923e-08
34.0,-11.25,3.2822964e-08
34.0,-10.625,3.3252885e-08
34.0,-10.0,3.384439e-08
34.0,-9.375,3.445697e-08
34.0,-8.75,3.5185348e-08
34.0,-8.125,3.5942406e-08
34.0,-7.5,3.6638347e-08
34.0,-6.875,3.660636e-08
34.0,-6.25,3.6165872e-08
34.0,-5.625,3.6196894e-08
34.0,-5.0,3.7419355e-08
34.0,-4.375,3.8551992e-08
34.0,-3.75,3.9061437e-08
34.0,-3.125,3.9429658e-08
34.0,-2.5,3.922318e-08
34.0,-1.875,3.8789192e-08
34.0,-1.25,3.8676017e-08
34.0,-0.625,3.835181e-08
34.0,0.0,3.83376e-08
34.0,0.625,3.8493756e-08
34.0,1.25,3.856636e-08
34.0,1.875,3.8469107e-08
34.0,2.5,3.8322398e-08
34.0,3.125,3.8224268e-08
34.0,3.75,3.824378e-08
34.0,4.375,3.8174182e-08
34.0,5.0,3.7939056e-08
34.0,5.625,3.779729e-08
34.0,6.25,3.794151e-08
34.0,6.875,3.8042604e-08
34.0,7.5,3.824129e-08
34.0,8.125,3.843451e-08
34.0,8.75,3.8500893e-08
34.0,9.375,3.863494e-08
34.0,10.0,3.9384222e-08
34.0,10.625,3.9987242e-08
34.0,11.25,3.9785334e-08
34.0,11.875,3.94954e-08
34.0,12.5,3.9295468e-08
34.0,13.125,3.9187093e-08
34.0,13.75,3.9000327e-08
34.0,14.375,3.883249e-08
34.0,15.0,3.8624552e-08
34.0,15.625,3.8547277e-08
34.0,16.25,3.8521165e-08
34.0,16.875,3.8714447e-08
34.0,17.5,3.8930832e-08
34.0,18.125,3.929651e-08
34.0,18.75,3.9669118e-08
34.0,19.375,3.992528e-08
34.0,20.0,4.0118334e-08
34.0,20.625,4.026136e-08
34.0,21.25,4.0426492e-08
34.0,21.875,4.062422e-08
34.0,22.5,4.0981384e-08
34.0,23.125,4.137341e-08
34.0,23.75,4.176671e-08
34.0,24.375,4.2314557e-08
34.0,25.0,4.2845866e-08
34.0,25.625,4.341008e-08
34.0,26.25,4.363496e-08
34.0,26.875,4.3691255e-08
34.0,27.5,4.366962e-08
34.0,28.125,4.362605e-08
34.0,28.75,4.359722e-08
34.0,29.375,4.3630536e-08
34.0,30.0,4.359864e-08
34.0,30.625,4.354599e-08
34.0,31.25,4.335676e-08
34.0,31.875,4.312802e-08
34.0,32.5,4.281488e-08
34.0,33.125,4.280245e-08
