type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,gps_code,iata_code
small_airport,Hveravellir Airport,64.88610077,-19.49250031,2000,IS,BIHI,
small_airport,Hólmavík Airport,65.70469666,-21.69639969,90,IS,BIHK,HVK
small_airport,Hella Airport,63.83580017,-20.37750053,66,IS,BIHL,
medium_airport,Hornafjörður Airport,64.295601,-15.2272,24,IS,BIHN,HFN
small_airport,Hvolsvöllur Airport,63.75389862,-20.24419975,109,IS,BIHR,
small_airport,Hrafnseyri Airport,65.75,-23.46699905,30,IS,BIHS,
small_airport,Holt Airport,66.01418043,-23.4416914,10,IS,BIHT,FLI
medium_airport,Húsavík Airport,65.952301,-17.426001,48,IS,BIHU,HZK
small_airport,Krókstaðarmelar Airport,65.2664032,-20.84690094,164,IS,BIHV,HVM
small_airport,Hrauneyjarfoss Airport,64.19999695,-19.2833004,1200,IS,BIHX,
small_airport,Hrísey Airport,65.989204,-18.394117,15,IS,BIHY,
small_airport,Húsafell Airport,64.6996994,-20.88360023,380,IS,BIHZ,
small_airport,Ingjaldssanður Airport,66.05000305,-23.69610023,70,IS,BIID,HLO
medium_airport,Ísafjörður Airport,66.05809784,-23.13529968,8,IS,BIIS,IFJ
small_airport,Kaldármelar Airport,64.77890015,-22.25690079,160,IS,BIKA,
small_airport,Kerlingafjöll Airport,64.70500183,-19.41060066,2100,IS,BIKE,
large_airport,Keflavik International Airport,63.985001,-22.6056,171,IS,BIKF,KEF
small_airport,Kroksfjard-Arnes Airport,65.46700287,-21.95000076,49,IS,BIKJ,
small_airport,Kirkjubæjarklaustur Airport,63.792685,-18.004684,66,IS,BIKL,
small_airport,Kópasker Airport,66.31079865,-16.4666996,20,IS,BIKP,OPA
small_airport,Sauðárkrókur Airport,65.73169708,-19.57279968,8,IS,BIKR,SAK
small_airport,Múlakot Airport,63.71419907,-19.87919998,272,IS,BIMK,
small_airport,Melgerðismelar Airport,65.48329926,-18.16670036,35,IS,BIMM,
small_airport,Melanes Airport,65.51699829,-22.39999962,148,IS,BIMN,
small_airport,Tungubakkar Airport,64.18109894,-21.70779991,5,IS,BIMS,
small_airport,Nýjidalur Airport,64.72059631,-18.06669998,2625,IS,BIND,
small_airport,Norðfjörður Airport,65.13189697,-13.74639988,13,IS,BINF,NOR
small_airport,Ólafsfjörður Airport,66.08329773,-18.66670036,32,IS,BIOF,OFJ
small_airport,Patreksfjörður Airport,65.555801,-23.965,11,IS,BIPA,PFJ
small_airport,Reykhólar Airport,65.45262909,-22.20611572,60,IS,BIRE,RHA
small_airport,Rif Airport,64.91139984,-23.82309914,18,IS,BIRF,OLI
small_airport,Raufarhöfn Airport,66.40640259,-15.91829967,39,IS,BIRG,RFN
medium_airport,Reykjavik Airport,64.12999725,-21.94059944,48,IS,BIRK,RKV
small_airport,Reykjahlíð Airport,65.65579987,-16.91810036,1030,IS,BIRL,MVA
small_airport,Reykjanes Airport,65.91419983,-22.42140007,10,IS,BIRS,
small_airport,Sandá Airport,65.13439941,-19.66309929,1580,IS,BISA,
small_airport,Selfoss Airport,63.92919922,-21.03779984,45,IS,BISF,
small_airport,Steinasandur Airport,64.16699982,-15.89999962,30,IS,BISG,
small_airport,Stora-Holt Airport,65.40000153,-21.93300056,100,IS,BISH,
medium_airport,Siglufjörður Airport,66.137847,-18.908157,10,IS,BISI,SIJ
small_airport,Skógasandur Airport,63.51720047,-19.48920059,130,IS,BISK,
small_airport,Svínafell Airport,64.384723,-15.371935,60,IS,BISN,
small_airport,Sprengisandur Airport,64.65419769,-18.49690056,2050,IS,BISP,
small_airport,Stórikroppur Airport,64.63439941,-21.48749924,165,IS,BISR,
small_airport,Sandskeið Airport,64.06079865,-21.5746994,600,IS,BISS,
small_airport,Stykkishólmur Airport,65.05809784,-22.7942009,42,IS,BIST,SYK
small_airport,Skálavatn Airport,64.11579895,-18.7833004,2000,IS,BISV,
small_airport,Þingeyri Airport,65.87030029,-23.55999947,65,IS,BITE,TEY
small_airport,Þórsmörk Airport,63.68999863,-19.56310081,600,IS,BITM,
small_airport,Þórshöfn Airport,66.218498,-15.3356,65,IS,BITN,THO
small_airport,Thorisos Airport,64.34999847,-18.85000038,1840,IS,BITO,
small_airport,Vatnsnes Airport,64.03309631,-20.65110016,,IS,BIVA,
small_airport,Varmahlid Airport,65.5569458,-19.42805672,27,IS,BIVH,
small_airport,Vík Airport,63.42169952,-18.88829994,100,IS,BIVI,
medium_airport,Vestmannaeyjar Airport,63.42430115,-20.27890015,326,IS,BIVM,VEY
small_airport,Vopnafjörður Airport,65.72059631,-14.85060024,16,IS,BIVO,VPN
large_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789,XK,BKPR,PRN
medium_airport,Balbasovo Air Base,54.439999,30.2967,620,BY,UMIO,
medium_airport,Bobrovichi Air Base,52.27830124,29.36000061,440,BY,,
small_airport,Borovtsy Air Base,55.60829926,28.67830086,456,BY,,
medium_airport,Osovtsy Air Base,52.55699921,24.88400078,,BY,UMMO,
small_airport,Bel Airfield,53.779817,31.66495,,BY,,
small_airport,Lida Air Base,53.877,25.377,,BY,UMDD,
small_airport,Aerodrom Belz,50.3771921,23.9648804,,UA,,
small_airport,Aerodrom Kukoviatsino,55.160995,29.974589,,BY,UMNI,
small_airport,Mozyr,51.9858414,29.157581,,BY,,
small_airport,Lipki Air Base,53.913545,27.708775,,BY,UMMI,
